Subject,Experience Sampling Questions Response Time,GoNoGo Task Response Time,Go Task Accuracy,NoGo Task Accuracy,Finger Tapping Task Response Time,Finger Tapping Task Accuracy,Two-Back Task-faces Response Time,Two-Back Task-faces Accuracy,Two-Back Task-scenes Response Time,Two-Back Task-scenes Accuracy,One-Back Task Response Time,One-Back Task Accuracy,Zero-Back Task Response Time,Zero-Back Task Accuracy,Hard Math Task Response Time,Hard Math Task Accuracy,Easy Math Task Response Time,Easy Math Task Accuracy,Friend Task Response Time,Friend Task Sentiment,You Task Response Time,You Task Sentiment
017,3.957679869791769,1.0068063722220748,0.9230769230769231,0.8672566371681416,0.35688957846007097,1.0,1.1670996755523244,0.8888888888888888,1.1304930260875667,0.8913043478260869,1.2468878222247843,1.0,0.8834177727271295,1.0,2.275145920000505,0.94,1.821316471156024,1.0,1.2059910869562451,0.5652173790170135,0.9678900434789113,0.48529411051038074
018,4.281269951215007,0.9831338103700007,0.8,0.9416666666666667,1.316989826001809,0.84,1.372800691302552,0.5,0.973636929311083,0.7241379310344828,1.6368141500002822,0.9,0.9175676454535939,0.8181818181818182,2.3195171947366346,0.9824561403508771,1.9723523540992947,1.0,2.4858794842098417,0.6052631419667595,2.5567335818179178,0.48837208166576557
054,3.298461015625037,1.011605067910411,0.5882352941176471,0.452991452991453,0.9782243283333931,0.9333333333333333,1.092176264102818,0.6666666666666666,0.9737668170212388,0.6170212765957447,2.3689747499998703,0.6,3.2816003909090132,0.45454545454545453,3.190721751219471,0.45714285714285713,2.299267900000164,0.7755102040816326,0.954545717021516,0.5434782490548207,0.8853990785713125,0.6811594104179796
084,4.581937155209188,1.0425842954115536,1.0,0.8854166666666666,0.3179924123047385,1.0,1.0090748000021654,0.8163265306122449,0.9498476326894328,0.9038461538461539,0.8724659142899327,1.0,0.7078083000029437,1.0,2.380127366039713,0.8867924528301887,1.9265438749988486,0.9666666666666667,1.3017245555516437,0.46666665629629656,0.9489110067799505,0.593220328928469
086,6.423655843576904,1.0533507509815037,0.8461538461538461,0.9550561797752809,0.4499491749981341,1.0,1.1447325222193117,0.8518518518518519,1.2400421888916753,0.6,1.5639997000042867,0.8888888888888888,0.7989127399952849,1.0,2.2239319214308386,0.875,2.014631106249908,0.9516129032258065,1.6720431136358953,0.6744185889670096,1.52186589811397,0.6470588108419841
090,4.040471252251438,1.0233962161654535,0.7058823529411765,0.8495575221238938,0.4223955876874523,1.0,1.172990386052122,0.813953488372093,1.0845469229194957,0.875,0.9813892299891449,1.0,0.7363126666653746,1.0,2.118097450942205,0.8867924528301887,1.95918363437886,1.0,1.6312485086989752,0.7826086786389418,1.3426358857084,0.7321428440688779
sub026,3.09514404878477,0.983965988372689,0.9375,0.6548672566371682,0.4109608016677763,1.0,1.1183647156861958,0.7647058823529411,1.0762102023810647,0.8333333333333334,1.2934098000001872,0.9090909090909091,1.0713599111105496,1.0,2.816800922727039,0.8636363636363636,1.953734216364418,1.0,1.1575481652172406,0.8260869385633275,1.0992575106063283,0.7076922968047339
sub137,3.9010157734369386,1.030104482708161,0.5263157894736842,0.631578947368421,0.2674794357149429,1.0,1.6287788261889502,0.3333333333333333,1.2589033051290943,0.6153846153846154,1.6886697181802115,0.8181818181818182,0.9661781000005166,0.9090909090909091,2.245838466036696,0.9811320754716981,1.8737377314839117,1.0,1.341688928569922,0.8095237902494337,1.3063840758645553,0.8103448136147446
sub138,3.24491425225723,1.0308892868867632,1.0,0.04716981132075472,0.5813804000007132,1.0,1.019923710715375,0.8035714285714286,1.1964100688902868,0.6666666666666666,2.0855199374927906,0.625,0.9315273769181938,1.0,2.1734000869555925,0.9333333333333333,1.9566195633349708,1.0,1.4204770624972298,0.8749999781250006,1.1879008546911791,0.8281249870605472
subject001,4.909587743403487,1.0183310555557832,0.6,0.9313725490196079,0.3650910426676273,1.0,0.9200045229154057,0.8541666666666666,0.9355725959140561,0.8163265306122449,0.8327098615386953,0.9230769230769231,0.7852359692333266,1.0,2.087597098278789,0.6551724137931034,1.8984546509084546,0.9272727272727272,1.042659646672352,0.7045454385330583,0.989948993337263,0.6666666555555558
subject002,3.322561875350301,0.9587132188579311,0.35714285714285715,0.5,0.3602021450099225,1.0,0.8634353022298051,0.8222222222222222,1.1045403589601988,0.717948717948718,1.67836852495869,0.9166666666666666,0.7967016833523909,1.0,2.0854459340396794,1.0,1.9952312729964476,0.9841269841269841,2.262775381592004,0.8055555331790131,1.6554691339667253,0.7358490427198294
